geo_address_key,street_1_norm,city_norm,state_norm,zip_norm,provider_count,address_variant_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
46169 JESSIE BROOK TRL | BOWSTRING | MN | 56631,46169 JESSIE BROOK TRL,BOWSTRING,MN,56631,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
468 74TH ST N | GREAT FALLS | MT | 59402,468 74TH ST N,GREAT FALLS,MT,59402,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
47 OLD TEMPLE HILL ROAD | VAILS GATE | NY | 12584,47 OLD TEMPLE HILL ROAD,VAILS GATE,NY,12584,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
483 W SEED FARM RD | SACATON | AZ | 85247,483 W SEED FARM RD,SACATON,AZ,85247,9,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4959 KIDRON RD | KIDRON | OH | 44636,4959 KIDRON RD,KIDRON,OH,44636,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
500 VETERANS WAY | TEMPE | AZ | 85287,500 VETERANS WAY,TEMPE,AZ,85287,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
501 W 14TH ST | WILMINGTON | DE | 19899,501 W 14TH ST,WILMINGTON,DE,19899,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
501 W 14TH STREET | WILMINGTON | DE | 19899,501 W 14TH STREET,WILMINGTON,DE,19899,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
5107 HUTSON RD | COLLINSVILLE | OH | 45004,5107 HUTSON RD,COLLINSVILLE,OH,45004,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
513 PARNASSUS AVE | SAN FRANCISCO | CA | 94143,513 PARNASSUS AVE,SAN FRANCISCO,CA,94143,5,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
513 PARNASSUS AVE RM S-672 | SAN FRANCISCO | CA | 94143,513 PARNASSUS AVE RM S-672,SAN FRANCISCO,CA,94143,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
5265 S BUSINESS 71 | PINEVILLE | MO | 65865,5265 S BUSINESS 71,PINEVILLE,MO,65865,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
53 SPRING MOUNT RD | SPRING MOUNT | PA | 19478,53 SPRING MOUNT RD,SPRING MOUNT,PA,19478,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
5301 EAST HURON RIVER DRIVE | YPSILANTI | MI | 48106,5301 EAST HURON RIVER DRIVE,YPSILANTI,MI,48106,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
535 MISSION BAY BLVD S | SAN FRANCISCO | CA | 94143,535 MISSION BAY BLVD S,SAN FRANCISCO,CA,94143,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
535 MISSION BAY BLVD SOUTH | SAN FRANCISCO | CA | 94143,535 MISSION BAY BLVD SOUTH,SAN FRANCISCO,CA,94143,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
555 MISSION BAY BLVD S # 452K | SAN FRANCISCO | CA | 94143,555 MISSION BAY BLVD S # 452K,SAN FRANCISCO,CA,94143,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
555 MISSION BAY BLVD SOUTH | SAN FRANCISCO | CA | 94143,555 MISSION BAY BLVD SOUTH,SAN FRANCISCO,CA,94143,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
5801 DEFENSE PENTAGON | WASHINGTON | DC | 20310,5801 DEFENSE PENTAGON,WASHINGTON,DC,20310,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
5812 YORK RD | LAHASKA | PA | 18931,5812 YORK RD,LAHASKA,PA,18931,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
5TH AMBULATORY CARE CTR | ALBUQUERQUE | NM | 87131,5TH AMBULATORY CARE CTR,ALBUQUERQUE,NM,87131,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
6 PORTLAND AVE | GEORGETOWN | CT | 06829,6 PORTLAND AVE,GEORGETOWN,CT,06829,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
600 MARY STREET | EVANSVILLE | IN | 47747,600 MARY STREET,EVANSVILLE,IN,47747,5,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
613 SCAIFE HALL | PITTSBURGH | PA | 15261,613 SCAIFE HALL,PITTSBURGH,PA,15261,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
62647 COLLECTION CENTER DR | CHICAGO | IL | 60693,62647 COLLECTION CENTER DR,CHICAGO,IL,60693,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
65 MARIO CAPECCHI DR | SALT LAKE CITY | UT | 84132,65 MARIO CAPECCHI DR,SALT LAKE CITY,UT,84132,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
6654 OLD TURNPIKE RD | VICKSBURG | PA | 17883,6654 OLD TURNPIKE RD,VICKSBURG,PA,17883,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
6825 16TH STNW | WASHINGTON | DC | 20306,6825 16TH STNW,WASHINGTON,DC,20306,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
6TH & BOSTON | LUBBOCK | TX | 79409,6TH & BOSTON,LUBBOCK,TX,79409,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
7001 HWY 614 | HURLEY | MS | 39555,7001 HWY 614,HURLEY,MS,39555,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
701 N IST ST | SPRINGFIELD | IL | 62781,701 N IST ST,SPRINGFIELD,IL,62781,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
