request_id,street_1_norm,street_2_norm,city_norm,state_norm,zip_norm,provider_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
1842,UNIVERSITY OF PITTSBURGH SCHOOL OF PHARMACY,,PITTSBURGH,PA,15261,1,Census_Geocoder,unmatched,0,,,,,
1843,UNIVERSITY OF TEXAS AT ARLINGTON,BOX 19227,ARLINGTON,TX,76019,1,Census_Geocoder,unmatched,0,,,,,
1844,UNIVERSITY OF TN STUDENT HEALTH SERVICES,1818 ANDY HOLT AVE,KNOXVILLE,TN,37996,1,Census_Geocoder,unmatched,0,,,,,
1845,UNIVERSITY OF UTAH,DIVISION OF ID; 30 N 1900 E,SALT LAKE CITY,UT,84132,1,Census_Geocoder,unmatched,0,,,,,
1846,UNIVERSITY OF UTAH DIVISION OF EMERGENCY MEDICINE,30 NORTH 1900 EAST ROOM 1C026,SALT LAKE CITY,UT,84132,1,Census_Geocoder,unmatched,0,,,,,
1847,UNIVERSITY OF UTAH HOSPITAL CLINICS DEPT OF OB/GYN,50 NORTH MEDICAL DRIVE,SALT LAKE CITY,UT,84132,1,Census_Geocoder,unmatched,0,,,,,
1849,UNM BLDG 73,,ALBUQUERQUE,NM,87131,1,Census_Geocoder,unmatched,0,,,,,
1850,UNM COLLEGE OF NURSING MSC 09 5350,1 UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,87131,1,Census_Geocoder,unmatched,0,,,,,
1851,UNMC COLLEGE OF NURSING,985330 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,1,Census_Geocoder,unmatched,0,,,,,
1852,UNMC NEUROLOGY,982045 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,1,Census_Geocoder,unmatched,0,,,,,
1853,UNMHSC 1 UNIVERSITY OF NEW MEXICO,DEPT OF NEUROLOGY; MSC 10-5620,ALBUQUERQUE,NM,87131,1,Census_Geocoder,unmatched,0,,,,,
1854,UNR SPORTSMEDICINE COMPLEX,,RENO,NV,89507,1,Census_Geocoder,unmatched,0,,,,,
1858,US ARMY DENTAL ACTIVITY BLDG 9900,2ND FL  CREDENTIALS OFFICE ATTN: PEGGY LEWIS,TACOMA,WA,98431,1,Census_Geocoder,unmatched,0,,,,,
1861,US COAST GUARD ISC KODIAK,BLDG N46,KODIAK,AK,99619,1,Census_Geocoder,unmatched,0,,,,,
1862,US COAST GUARD SFO GALVESTON #1 FERRY ROAD,,GALVESTON,TX,77553,1,Census_Geocoder,matched,1,"1 FERRY RD, GALVESTON, TX, 77550",29.315327722974,-94.770309177101,636934126,L
1863,US DEPT OF STATE,M/MED/QI SA-1,WASHINGTON,DC,20522,1,Census_Geocoder,unmatched,0,,,,,
1864,US DEPT OF STATE M/MED/QM SA-1,,WASHINGTON,DC,20522,1,Census_Geocoder,unmatched,0,,,,,
1865,US DEPT OFSTATE,M/MED/QI SA-1,WASHINGTON,DC,20522,2,Census_Geocoder,unmatched,0,,,,,
1879,USCGC TAHOMA (WMEC-908),C/O PNSY BUILDING 170,PORTSMOUTH,NH,03804,1,Census_Geocoder,unmatched,0,,,,,
1889,USS CARL VINSON CVN-70,DENTAL DEPARTMENT,FPO AE,VA,09566,1,Census_Geocoder,unmatched,0,,,,,
1890,USS DWIGHT D EISENHOWER,,NORFOLK,VA,09532,1,Census_Geocoder,unmatched,0,,,,,
1893,USS JOHN C STENNIS CVN 74,DENTAL DEPARTMENT BOX 66,FPO AP,WA,96615,1,Census_Geocoder,unmatched,0,,,,,
1902,UT HEARING AND SPEECH CENTER,1600 PEYTON MANNING PASS,KNOXVILLE,TN,37996,6,Census_Geocoder,unmatched,0,,,,,
1903,VA HOSPITAL -UNIVERSITY DRIVE DIVISON,132Y-U,PITTSBURGH,PA,15240,1,Census_Geocoder,unmatched,0,,,,,
1904,VA HUDSON VALLEY HCS PM&R/SCI SERVICES,ROUTE 9 CASTLE POINT CAMPUS,CASTLE POINT,NY,12511,1,Census_Geocoder,unmatched,0,,,,,
1905,VA LOMA LINDA HEALTHCARE SYSTEM,11201 BENTON STREET,LOMA LINDA,CA,92357,1,Census_Geocoder,unmatched,0,,,,,
1906,VA LOMA LINDA HEALTHCARE SYSTEM # 119,11201 BENTON STREET,LOMA LINDA,CA,92357,1,Census_Geocoder,unmatched,0,,,,,
1907,VA MEDICAL CENTER,500 FOOTHILL BLVD,SALT LAKE CITY,UT,84148,1,Census_Geocoder,unmatched,0,,,,,
1908,VA MEDICAL CENTER,BUILDING 69 MEDICAL SERVICE 111,MOUNTAIN HOME,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1909,VA MEDICAL CENTER,PO 4000,MOUNTAIN HOME,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1910,VA MEDICAL CENTER,UNIVERSITY DRIVE C,PITTSBURGH,PA,15240,1,Census_Geocoder,unmatched,0,,,,,
1911,VA MEDICAL CENTER AT AMERICAN LAKE,URGENT CARE CLINIC-A111PC,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1912,VA PITTSBURGH HEALTHCARE SYSTEM,UNIVERSITY DR C 132M-U,PITTSBURGH,PA,15240,1,Census_Geocoder,unmatched,0,,,,,
1913,VA PITTSBURGH HEALTHCARE SYSTEM,UNIVERSITY DRIVE C,PITTSBURGH,PA,15240,1,Census_Geocoder,unmatched,0,,,,,
1914,VA PUGET SOUND HEALTH CARE SYSTEM,9600 VETERANS DRIVE,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1915,VA PUGET SOUND HEALTH CARE SYSTEM,AMERICAN LAKE DIVISION,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1916,VA PUGET SOUND HEALTH CARE SYSTEM,,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1917,VA PUGET SOUND HEALTH CARE SYSTEM AMERICAN LAKE D,9600 VETERANS DRIVE SW,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1918,VA SALT LAKE CITY HEALTH CARE SYSTEM,500 FOOTHILL BLVD,SALT LAKE CITY,UT,84148,1,Census_Geocoder,unmatched,0,,,,,
1919,VA SALT LAKE CITY HEALTH CARE SYSTEM,500 FOOTHILL DR,SALT LAKE CITY,UT,84148,1,Census_Geocoder,unmatched,0,,,,,
1920,VA SALT LAKE CITY HEALTH CARE SYSTEM MENTAL,500 FOOTHILL DR,SALT LAKE CITY,UT,84148,1,Census_Geocoder,unmatched,0,,,,,
1921,VAMC BLDG 160 DOGWOOD AVE,,MOUNTAIN HOME,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1922,VAMHCS,10 NORTH GREENE STREET,BALTIMORE,MD,21298,1,Census_Geocoder,unmatched,0,,,,,
