STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AL,35620,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35622,2,0,2,2,2,1.0,3489,0.0005732301519059903,0.0,1.0
AL,35630,81,69,12,38,81,0.4691358024691358,3489,0.023215821152192607,0.8518518518518519,0.14814814814814814
AL,35633,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35634,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,35640,5,4,1,4,5,0.8,3489,0.0014330753797649756,0.8,0.2
AL,35645,3,3,0,3,3,1.0,3489,0.0008598452278589854,1.0,0.0
AL,35648,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35650,6,5,1,6,6,1.0,3489,0.0017196904557179708,0.8333333333333334,0.16666666666666666
AL,35652,4,4,0,3,4,0.75,3489,0.0011464603038119805,1.0,0.0
AL,35653,7,3,4,4,7,0.5714285714285714,3489,0.002006305531670966,0.42857142857142855,0.5714285714285714
AL,35660,20,15,5,12,20,0.6,3489,0.005732301519059902,0.75,0.25
AL,35661,13,9,4,11,13,0.8461538461538461,3489,0.003725995987388937,0.6923076923076923,0.3076923076923077
AL,35674,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35739,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35747,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35748,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35749,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35750,3,3,0,2,3,0.6666666666666666,3489,0.0008598452278589854,1.0,0.0
AL,35754,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35757,2,2,0,1,2,0.5,3489,0.0005732301519059903,1.0,0.0
AL,35758,32,25,7,19,32,0.59375,3489,0.009171682430495844,0.78125,0.21875
AL,35759,3,1,2,3,3,1.0,3489,0.0008598452278589854,0.3333333333333333,0.6666666666666666
AL,35761,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35763,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35768,20,15,5,15,20,0.75,3489,0.005732301519059902,0.75,0.25
AL,35771,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35772,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35801,239,212,27,72,239,0.301255230125523,3489,0.06850100315276583,0.8870292887029289,0.11297071129707113
AL,35802,19,19,0,15,19,0.7894736842105263,3489,0.005445686443106907,1.0,0.0
AL,35803,6,2,4,6,6,1.0,3489,0.0017196904557179708,0.3333333333333333,0.6666666666666666
AL,35805,27,22,5,10,27,0.37037037037037035,3489,0.007738607050730868,0.8148148148148148,0.18518518518518517
AL,35806,11,7,4,11,11,1.0,3489,0.0031527658354829464,0.6363636363636364,0.36363636363636365
AL,35808,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35809,3,3,0,3,3,1.0,3489,0.0008598452278589854,1.0,0.0
AL,35810,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35811,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35816,5,5,0,5,5,1.0,3489,0.0014330753797649756,1.0,0.0
AL,35899,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35901,40,33,7,21,40,0.525,3489,0.011464603038119804,0.825,0.175
