STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio,population,providers_per_10000,individual_providers_per_10000,organization_providers_per_10000
AL,35068,2,0,2,2,2,1.0,3489,0.0005732301519059,0.0,1.0,8437.0,2.370510845087116,0.0,2.370510845087116
AL,35071,11,6,5,11,11,1.0,3489,0.0031527658354829,0.5454545454545454,0.4545454545454545,17627.0,6.240426618256084,3.4038690645033185,2.8365575537527654
AL,35072,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,4725.0,2.1164021164021163,0.0,2.1164021164021163
AL,35077,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,13290.0,0.7524454477050414,0.0,0.7524454477050414
AL,35080,4,3,1,4,4,1.0,3489,0.0011464603038119,0.75,0.25,19808.0,2.0193861066235868,1.5145395799676897,0.5048465266558967
AL,35085,2,1,1,2,2,1.0,3489,0.0005732301519059,0.5,0.5,8786.0,2.2763487366264514,1.1381743683132257,1.1381743683132257
AL,35094,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,15333.0,0.6521880910454576,0.6521880910454576,0.0
AL,35096,2,1,1,2,2,1.0,3489,0.0005732301519059,0.5,0.5,9201.0,2.173676774263667,1.0868383871318334,1.0868383871318334
AL,35115,3,2,1,2,3,0.6666666666666666,3489,0.0008598452278589,0.6666666666666666,0.3333333333333333,16911.0,1.7739932588256164,1.182662172550411,0.5913310862752055
AL,35117,2,1,1,2,2,1.0,3489,0.0005732301519059,0.5,0.5,5091.0,3.928501276762915,1.9642506383814575,1.9642506383814575
AL,35121,6,2,4,6,6,1.0,3489,0.0017196904557179,0.3333333333333333,0.6666666666666666,16207.0,3.7021040291232183,1.2340346763744061,2.4680693527488122
AL,35124,12,8,4,11,12,0.9166666666666666,3489,0.0034393809114359,0.6666666666666666,0.3333333333333333,24871.0,4.824896465763339,3.216597643842226,1.608298821921113
AL,35125,13,12,1,8,13,0.6153846153846154,3489,0.0037259959873889,0.9230769230769232,0.0769230769230769,10969.0,11.851581730330933,10.939921597228555,0.9116601331023795
AL,35126,5,4,1,4,5,0.8,3489,0.0014330753797649,0.8,0.2,22354.0,2.2367361546032027,1.7893889236825624,0.4473472309206406
AL,35127,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,9502.0,1.0524100189433803,0.0,1.0524100189433803
AL,35128,6,3,3,5,6,0.8333333333333334,3489,0.0017196904557179,0.5,0.5,10228.0,5.866249511145874,2.933124755572937,2.933124755572937
AL,35148,2,1,1,2,2,1.0,3489,0.0005732301519059,0.5,0.5,2270.0,8.81057268722467,4.405286343612335,4.405286343612335
AL,35150,18,15,3,13,18,0.7222222222222222,3489,0.0051590713671539,0.8333333333333334,0.1666666666666666,17118.0,10.515247108307046,8.762705923589204,1.752541184717841
AL,35151,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,7615.0,1.3131976362442548,0.0,1.3131976362442548
AL,35160,8,5,3,7,8,0.875,3489,0.0022929206076239,0.625,0.375,26177.0,3.056117966153493,1.9100737288459335,1.14604423730756
AL,35173,13,12,1,10,13,0.7692307692307693,3489,0.0037259959873889,0.9230769230769232,0.0769230769230769,32125.0,4.046692607003891,3.735408560311284,0.31128404669260695
AL,35178,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,2867.0,3.487966515521451,3.487966515521451,0.0
AL,35179,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,8957.0,1.1164452383610584,0.0,1.1164452383610584
AL,35180,4,3,1,3,4,0.75,3489,0.0011464603038119,0.75,0.25,14097.0,2.8374831524437822,2.128112364332837,0.7093707881109456
AL,35184,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,6188.0,1.6160310277957337,0.0,1.6160310277957337
AL,35203,6,3,3,4,6,0.6666666666666666,3489,0.0017196904557179,0.5,0.5,3301.0,18.17631020902757,9.088155104513785,9.088155104513785
AL,35205,82,67,15,34,82,0.4146341463414634,3489,0.0235024362281456,0.8170731707317073,0.1829268292682926,18955.0,43.26035346874176,35.34687417567924,7.913479293062516
AL,35206,4,3,1,4,4,1.0,3489,0.0011464603038119,0.75,0.25,15031.0,2.661166921695163,1.9958751912713726,0.6652917304237908
AL,35207,2,2,0,2,2,1.0,3489,0.0005732301519059,1.0,0.0,6824.0,2.9308323563892142,2.9308323563892142,0.0
AL,35209,129,115,14,55,129,0.4263565891472868,3489,0.0369733447979363,0.8914728682170543,0.1085271317829457,33476.0,38.53506990082447,34.352969291432665,4.182100609391803
AL,35210,6,3,3,4,6,0.6666666666666666,3489,0.0017196904557179,0.5,0.5,13878.0,4.323389537397319,2.1616947686986596,2.1616947686986596
AL,35211,57,49,8,27,57,0.4736842105263157,3489,0.0163370593293207,0.8596491228070176,0.1403508771929824,25267.0,22.559069141568052,19.392883998891836,3.1661851426762184
AL,35212,2,2,0,2,2,1.0,3489,0.0005732301519059,1.0,0.0,10059.0,1.9882692116512577,1.9882692116512577,0.0
AL,35213,54,50,4,18,54,0.3333333333333333,3489,0.0154772141014617,0.925925925925926,0.074074074074074,15950.0,33.85579937304075,31.34796238244514,2.5078369905956115
AL,35215,6,3,3,5,6,0.8333333333333334,3489,0.0017196904557179,0.5,0.5,46372.0,1.2938842404899509,0.6469421202449754,0.6469421202449754
AL,35216,32,24,8,23,32,0.71875,3489,0.0091716824304958,0.75,0.25,36587.0,8.746275999672015,6.5597069997540105,2.186568999918004
AL,35218,7,5,2,5,7,0.7142857142857143,3489,0.0020063055316709,0.7142857142857143,0.2857142857142857,6628.0,10.561255280627641,7.543753771876886,3.0175015087507546
AL,35222,2,0,2,2,2,1.0,3489,0.0005732301519059,0.0,1.0,8184.0,2.4437927663734116,0.0,2.4437927663734116
AL,35223,8,7,1,7,8,0.875,3489,0.0022929206076239,0.875,0.125,10665.0,7.501172058134083,6.563525550867324,0.9376465072667604
AL,35226,11,8,3,8,11,0.7272727272727273,3489,0.0031527658354829,0.7272727272727273,0.2727272727272727,37693.0,2.91831374525774,2.1224099965510836,0.7959037487066564
AL,35229,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,2603.0,3.84172109104879,3.84172109104879,0.0
